case_number,project_id,address,in_main_500ft_sample,current_units,current_land_sqft,recommended_units,recommended_land_sqft,recommendation,evidence,permit_numbers,source_urls,remaining_issue,assessor_row_ids,assessor_history,review_date,adopted,permit_evidence,current_construction_year,current_building_sqft,other_measurement_concern,followup_reviewed,recommended_construction_year,recommended_building_sqft,followup_evidence,proposed_sample_action
45,residential_13254280100000,2425 N ROCKWELL ST,TRUE,1,4725,,,Exclude addition,"Same 1344-square-foot building was assessed as an 1888 two-flat before the selected 2015 year. The 2014 permit is an addition and interior modification, not a wholly new building.",100537131,,No new-building count/land combination should be created from this renovation record.,1325428010000011999;1325428010000012000;1325428010000012001;1325428010000012002;1325428010000012003;1325428010000012004;1325428010000012005;1325428010000012006;1325428010000012007;1325428010000012008;1325428010000012009;1325428010000012010;1325428010000012011;1325428010000012012;1325428010000012013;1325428010000012014;1325428010000012015;1325428010000012016;1325428010000012017;1325428010000012018;1325428010000012019;1325428010000012020;1325428010000012021;1325428010000012022;1325428010000012023;1325428010000012024;1325428010000012025;1325428010000012026,"13254280100000 card1 class211 built1888: 2 homes / 1344 floor / NA land, assessment 1999,2000,2001,2002,2003,2004,2005; 13254280100000 card1 class211 built1888: 2 homes / 1344 floor / 4725 land, assessment 2006,2007,2008,2009,2010,2011,2012,2013,2014,2015; 13254280100000 card1 class278 built2015: 2 homes / 1344 floor / 4725 land, assessment 2016,2017; 13254280100000 card1 class207 built2014: 2 homes / 1344 floor / 4725 land, assessment 2018,2019,2020; 13254280100000 card1 class207 built2015: 2 homes / 1344 floor / 4725 land, assessment 2021,2022,2023,2024,2025,2026",2026-09-15,TRUE,100537131 | COMPLETE | 2014-08-07T00:00:00.000 | 2425 N ROCKWELL ST | CONSTRUCT NEW ADDITION AND  INTERIOR MODIFICATIONS TO AN EXISTING 2 STORY 2 DWELLING FRAME BUILDING WITH BASEMENT PER PLANS.,2015,1344,,FALSE,,,,Exclude: not new construction
46,residential_13302030300000,6625 W BELMONT AVE,FALSE,6,3100,3,3100,Correct count,"Exact-address original permit at 6625 W Belmont specifies three apartments, matching early completed assessments. Keep three rather than the later six and the individual 3100-square-foot parcel.",100249608;100399464,,Neighboring similar buildings are not a reason to assign six to each.,1330203030000012012;1330203030000012013;1330203030000012014;1330203030000012015;1330203030000012016;1330203030000012017;1330203030000012018;1330203030000012019;1330203030000012020;1330203030000012021;1330203030000012022;1330203030000012023;1330203030000012024;1330203030000012025;1330203030000012026,"13302030300000 card1 class211 built2008: 3 homes / 3792 floor / 3100 land, assessment 2012; 13302030300000 card1 class211 built2008: 3 homes / 3592 floor / 3100 land, assessment 2013; 13302030300000 card1 class211 built2008: 6 homes / 3592 floor / 3100 land, assessment 2014,2015,2016,2017,2018,2019,2020,2021; 13302030300000 card1 class211 built2010: 6 homes / 3592 floor / 3100 land, assessment 2022,2023,2024,2025,2026",2026-09-15,TRUE,"100249608 | COMPLETE | 2008-08-18T00:00:00.000 | 6625 W BELMONT AVE | NEW 3 STORY MASONRY 3 UNITS REAR 3 STORY OPEN PORCH 3 PARKING SPACES AND 6 FT TALL FENCE. APPROVED FOR PERMIT SUBJECT TO AUDIT AND FIELD INSPECTION.
100399464 |  | 2011-06-21T00:00:00.000 | 6625 W BELMONT AVE | REINSTATE PERMIT # 100249608. CHANGE OWNER, GC, , HVAC CONT. & PLUMB CONT",2010,3592,,FALSE,,,,Keep
47,residential_13302030310000,6623 W BELMONT AVE,FALSE,6,3100,3,3100,Correct count,"Exact-address original permit at 6623 W Belmont specifies three apartments, matching early completed assessments. Keep three rather than six and the separate 3100-square-foot parcel.",100249523,,The permit at 6619 is another building; it is not the governing permit for 6623.,1330203031000012012;1330203031000012013;1330203031000012014;1330203031000012015;1330203031000012016;1330203031000012017;1330203031000012018;1330203031000012019;1330203031000012020;1330203031000012021;1330203031000012022;1330203031000012023;1330203031000012024;1330203031000012025;1330203031000012026,"13302030310000 card1 class211 built2008: 3 homes / 3792 floor / 3100 land, assessment 2012; 13302030310000 card1 class211 built2008: 3 homes / 3592 floor / 3100 land, assessment 2013; 13302030310000 card1 class211 built2008: 6 homes / 3592 floor / 3100 land, assessment 2014,2015,2016,2017,2018,2019; 13302030310000 card1 class211 built2011: 6 homes / 3592 floor / 3100 land, assessment 2020; 13302030310000 card1 class211 built2009: 6 homes / 3592 floor / 3100 land, assessment 2021,2022,2023,2024,2025,2026",2026-09-15,TRUE,100249523 | COMPLETE | 2008-08-05T00:00:00.000 | 6623 W BELMONT AVE | 3 STORY MASONRY 3 UNIT  REAR 3 STORY OPEN PORCH 3 PARKING SPACES AND  6FT TALL FENCE.  APPROVED FOR PERMIT SUBJECT TO AUDIT AND FIELD INSPECTION.,2009,3592,,FALSE,,,,Keep
48,residential_13362130310000,2237 N CAMPBELL AVE,TRUE,1,2876,2,2876,Correct count,Original permit is a new multi-unit residence; the 2022-2023 seller listing expressly describes a two-flat and lists both apartments. This agrees with earlier assessments and contradicts the later single-family class.,100253454,https://www.redfin.com/IL/Chicago/2237-N-Campbell-Ave-60647/home/13416321,Keep Assessor lot 2876; listing headline's 2750 is less well supported than the recorded exact-parcel figure.,1336213031000012009;1336213031000012010;1336213031000012011;1336213031000012012;1336213031000012013;1336213031000012014;1336213031000012015;1336213031000012016;1336213031000012017;1336213031000012018;1336213031000012019;1336213031000012020;1336213031000012021;1336213031000012022;1336213031000012023;1336213031000012024;1336213031000012025;1336213031000012026,"13362130310000 card1 class211 built2008: 2 homes / 2280 floor / 2876 land, assessment 2009,2010,2011,2012,2013,2014,2015,2016,2017; 13362130310000 card1 class278 built2008: 1 homes / 2280 floor / 2876 land, assessment 2018,2019,2020,2021,2022,2023,2024,2025,2026",2026-09-15,TRUE,100253454 | COMPLETE | 2008-12-15T00:00:00.000 | 2237 N CAMPBELL AVE | ERECT TWO STORY MULTI-UNIT RESIDENCE + 2 CAR GARAGE. CHICAGO GREEN PROJECT. CONDITIONAL PERMIT SUBJECT TO FIELD INSPECTION.,2008,2280,,FALSE,,,,Keep
49,residential_13362280340000,2704 W ARMITAGE AVE,FALSE,2,3000,2,3000,Retain,Original permit specifies two dwellings plus commercial space. Keep the later residential count of two and the same individual lot.,100397328,,Earlier three likely combines residential and commercial units.,1336228034000012012;1336228034000012013;1336228034000012014;1336228034000012015;1336228034000012016;1336228034000012017;1336228034000012018;1336228034000012019;1336228034000012020;1336228034000012021;1336228034000012022;1336228034000012023;1336228034000012024;1336228034000012025;1336228034000012026,"13362280340000 card1 class212 built2011: 3 homes / 2880 floor / 3000 land, assessment 2012; 13362280340000 card1 class212 built2011: 2 homes / 2880 floor / 3000 land, assessment 2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026",2026-09-15,TRUE,100397328 | COMPLETE | 2011-11-23T00:00:00.000 | 2704 W ARMITAGE AVE | NEW CONSTRUCTION (4) STORY MIXED-USE (2) D.U. BUILDING. (1ST) FLOOR COMMERCIAL.  SCOPE OF WORK INCLUDES NEW (3) CAR DETACHED GARAGE.*** NO GREEN ROOF ***,2011,2880,,FALSE,,,,Keep
50,residential_13363030060000,1939 N WHIPPLE ST,TRUE,1,3800,,,Exclude addition,Old assessments describe the same 1901 building; the located work is renovation and a two-story addition to an existing home. Later single-family classification and year do not establish a new building.,100323639,,"Permit status is expired; the affirmative evidence is of alteration, not proof of a replacement building.",1336303006000011999;1336303006000012000;1336303006000012001;1336303006000012002;1336303006000012003;1336303006000012004;1336303006000012005;1336303006000012006;1336303006000012007;1336303006000012008;1336303006000012009;1336303006000012010;1336303006000012011;1336303006000012012;1336303006000012013;1336303006000012014;1336303006000012015;1336303006000012016;1336303006000012017;1336303006000012018;1336303006000012019;1336303006000012020;1336303006000012021;1336303006000012022;1336303006000012023;1336303006000012024;1336303006000012025;1336303006000012026,"13363030060000 card1 class211 built1901: 2 homes / 1052 floor / NA land, assessment 1999,2000,2001,2002,2003,2004,2005; 13363030060000 card1 class211 built1901: 2 homes / 1052 floor / 3800 land, assessment 2006,2007,2008,2009,2010; 13363030060000 card1 class211 built1901: 2 homes / 2236 floor / 3800 land, assessment 2011,2012; 13363030060000 card1 class278 built2011: 1 homes / 2236 floor / 3800 land, assessment 2013,2014,2015,2016,2017,2018,2019; 13363030060000 card1 class278 built2014: 1 homes / 2236 floor / 3800 land, assessment 2020; 13363030060000 card1 class278 built2012: 1 homes / 2236 floor / 3800 land, assessment 2021; 13363030060000 card1 class278 built2013: 1 homes / 2236 floor / 3800 land, assessment 2022,2023,2024,2025,2026",2026-09-15,TRUE,100323639 | EXPIRED | 2010-04-15T00:00:00.000 | 1939 N WHIPPLE ST | INTERIOR RENOVATION OF AND (2) STORY ADDITION TO EXISTING (2) STORY WITH BASEMENT SINGLE FAMILY RESIDENCE.  INCLUDES FRONT PORCH REPLACEMENT.  INCLUDES NEW REAR PORCH.  INCLUDES (2) CAR DETACHED GARAGE REPLACEMENT.  GREEN PERMIT PROGRAM BENEFIT TIER II.  SELF-CERTIFICATION PROJECT.  CONDITIONAL PERMIT SUBJECT TO FIELD INSPECTION AND AUDIT.,2013,2236,,FALSE,,,,Exclude: not new construction
51,residential_14183050060000,4351 N LINCOLN AVE,FALSE,5,3125,3,3125,Correct count,Original new-building plans and completed revisions describe three apartments plus a business. Neither Assessor count four nor five is the supported apartment total. Keep the recorded individual lot.,100602947;100627863;100655878,,,1418305006000012000;1418305006000012001;1418305006000012002;1418305006000012003;1418305006000012004;1418305006000012005;1418305006000012006;1418305006000012007;1418305006000012008;1418305006000012009;1418305006000012010;1418305006000012011;1418305006000012012;1418305006000012013;1418305006000012014;1418305006000012015;1418305006000012017;1418305006000012018;1418305006000012019;1418305006000012020;1418305006000012021;1418305006000012022;1418305006000012023;1418305006000012024;1418305006000012025;1418305006000012026,"14183050060000 card1 class218 built1897: NA homes / NA floor / NA land, assessment 2000,2001,2002; 14183050060000 card1 class211 built1900: 2 homes / 3042 floor / NA land, assessment 2003; 14183050060000 card1 class212 built1900: 3 homes / 3042 floor / NA land, assessment 2004,2005; 14183050060000 card1 class212 built1900: 3 homes / 3042 floor / 3125 land, assessment 2006,2007,2008,2009,2010,2011,2012,2013,2014,2015; 14183050060000 card1 class212 built1900: 4 homes / 5168 floor / 3125 land, assessment 2017; 14183050060000 card1 class212 built1900: 5 homes / 5168 floor / 3125 land, assessment 2018,2019,2020; 14183050060000 card1 class212 built2016: 5 homes / 5168 floor / 3125 land, assessment 2021,2022,2023,2024,2025,2026",2026-09-15,TRUE,"100602947 | EXPIRED | 2015-11-06T00:00:00.000 | 4351 N LINCOLN AVE | NEW 4 STORY MIXED USE BUILDING - DEMO EXISTING BUILDING 2 1/2 STORY BUILDING & BUILD NEW 4 STORY MIXED USE - 1 BUSINESS UNIT & 3 RESIDENTIAL UNITS W/NEW EXTERIOR PARKING STALL - ALL WORK AS PER DRAWINGS
100627863 | COMPLETE | 2015-12-21T00:00:00.000 | 4351 N LINCOLN AVE | REVISION TO EXITING PERMIT 100602947 - BUILD NEW 4 STORY MIXED USE BUILDING  - 1 BUSINESS UNIT & 3 RESIDENTIAL UNITS W/NEW EXTERIOR PARKING STALL - ALL WORK AS PER REVISED APPROVED DRAWINGS
100655878 | COMPLETE | 2016-06-20T00:00:00.000 | 4351 N LINCOLN AVE | REVISION TO EXITING PERMITS #100602947 (11/6/15) AND #100627863 (12/21/15) - NEW 4 STORY MIXED USE MASONRY BUILDING W/ONE  BUSINESS UNIT & THREE RESIDENTIAL UNITS W/NEW EXTERIOR PARKING - ALL OTHER PREVIOUSLY APPROVED PLANS VALID FOR THE PLANS/DETAILS THAT WERE NOT CHANGED - ALL WORK AS PER REVISED APPROVED DRAWINGS",2016,5168,,FALSE,,,,Keep
52,residential_14204180230000,3307 N SHEFFIELD AVE,FALSE,4,3250,4,3250,Retain,"Original new-building permit specifies four apartments, agreeing with the current count rather than six. Keep the individual recorded lot.",100189037,,"Permit is now expired, so support also relies on the completed Assessor record. This is a count recommendation, not newly certified completion timing.",1420418023000011999;1420418023000012000;1420418023000012001;1420418023000012002;1420418023000012003;1420418023000012004;1420418023000012005;1420418023000012006;1420418023000012007;1420418023000012014;1420418023000012015;1420418023000012016;1420418023000012017;1420418023000012018;1420418023000012019;1420418023000012020;1420418023000012021;1420418023000012022;1420418023000012023;1420418023000012024;1420418023000012025;1420418023000012026,"14204180230000 card1 class211 built1878: 2 homes / 2530 floor / NA land, assessment 1999,2000,2001,2002,2003,2004,2005; 14204180230000 card1 class211 built1878: 2 homes / 2530 floor / 3250 land, assessment 2006,2007; 14204180230000 card1 class211 built1878: 6 homes / 6000 floor / 3250 land, assessment 2014,2015,2016,2017,2018,2019,2020; 14204180230000 card1 class211 built2008: 4 homes / 6000 floor / 3250 land, assessment 2021; 14204180230000 card1 class211 built2009: 4 homes / 6000 floor / 3250 land, assessment 2022,2023,2024,2025,2026",2026-09-15,TRUE,100189037 | EXPIRED | 2008-01-14T00:00:00.000 | 3307 N SHEFFIELD AVE | NEW FOUR UNIT RESIDENTIAL BUILDING WITH ATTACHED GARAGE AS PER PLANS. CONDITIONAL PERMIT SUBJECT TO FIELD INSPECTIONS.,2009,6000,,FALSE,,,,Keep
53,residential_14311170300000,2008 W WEBSTER AVE,FALSE,3,2616,2,2616,Correct count,Completed original permit specifies two apartments and an office. The Assessor sequence of four then three does not establish more residential units. Keep two and the individual 2616-square-foot lot.,100701397;100617758;100673280,,,1431117030000011999;1431117030000012000;1431117030000012001;1431117030000012002;1431117030000012003;1431117030000012004;1431117030000012005;1431117030000012006;1431117030000012007;1431117030000012008;1431117030000012009;1431117030000012010;1431117030000012011;1431117030000012012;1431117030000012013;1431117030000012014;1431117030000012015;1431117030000012016;1431117030000012018;1431117030000012019;1431117030000012020;1431117030000012021;1431117030000012022;1431117030000012023;1431117030000012024;1431117030000012025;1431117030000012026,"14311170300000 card1 class211 built1901: 2 homes / 2895 floor / NA land, assessment 1999,2000,2001,2002,2003,2004,2005; 14311170300000 card1 class211 built1901: 2 homes / 2895 floor / 2616 land, assessment 2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016; 14311170300000 card1 class212 built2017: 4 homes / 7776 floor / 2616 land, assessment 2018; 14311170300000 card1 class212 built2017: 3 homes / 7776 floor / 2616 land, assessment 2019,2020; 14311170300000 card1 class212 built2018: 3 homes / 7776 floor / 2616 land, assessment 2021,2022,2023,2024,2025,2026",2026-09-15,TRUE,"100701397 | COMPLETE | 2017-08-24T00:00:00.000 | 2008 W WEBSTER AVE | NEW CONSTRUCTION 5,606 SQ.FT. 3 STORY W/BASEMENT MIXED USE DEVELOPMENT WITH 2 RESIDENTIAL UNITS, OFFICE SPACE, AND TRASH ENCLOSURE.   **CERTIFIED PLAN CORRECTIONS PROJECT - CONDITIONAL PERMIT: SUBJECT TO FIELD INSPECTIONS **
100617758 | CANCELLED | 2016-03-01T00:00:00.000 | 2008 W WEBSTER AVE | NEW 5,744 SQ.FT. 3 STORY MIXED USE DEVELOPMENT WITH 2 RESIDENTIAL UNITS, OFFICE SPACE, AND TRASH ENCLOSURE.
100673280 |  | 2016-11-28T00:00:00.000 | 2008 W WEBSTER AVE | WRECK AND REMOVE A 2 STORY MULTI UNIT MASONRY RESIDENCE AND DETACHED FRAME GARAGE",2018,7776,,FALSE,,,,Keep
54,residential_14313070460000,1914 N DAMEN AVE,FALSE,4,2400,3,2400,Correct count,Original new-building permit specifies three apartments plus one commercial unit. The earlier three-unit Assessor snapshot is consistent with that residential count; four includes an unsupported extra dwelling.,100071198,,Permit currently marked expired; recorded three-apartment assessment provides completed-building corroboration.,1431307046000011999;1431307046000012000;1431307046000012001;1431307046000012002;1431307046000012003;1431307046000012004;1431307046000012005;1431307046000012006;1431307046000012007;1431307046000012008;1431307046000012009;1431307046000012010;1431307046000012011;1431307046000012012;1431307046000012013;1431307046000012014;1431307046000012015;1431307046000012016;1431307046000012017;1431307046000012018;1431307046000012019;1431307046000012020;1431307046000012021;1431307046000012022;1431307046000012023;1431307046000012024;1431307046000012025;1431307046000012026,"14313070460000 card1 class211 built1891: 3 homes / 2713 floor / NA land, assessment 1999,2000,2001,2002,2003,2004,2005; 14313070460000 card1 class211 built1891: 3 homes / 2713 floor / 2400 land, assessment 2006; 14313070460000 card1 class212 built2006: 4 homes / 6156 floor / 2400 land, assessment 2007,2008,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026; 14313070460000 card1 class212 built2006: 3 homes / 6156 floor / 2400 land, assessment 2009,2010,2011",2026-09-15,TRUE,100071198 | EXPIRED | 2006-05-22T00:00:00.000 | 1914 N DAMEN AVE | ERECT NEW MASONRY 3 DU AND 1 COMMERCIAL UNIT BUILDING AS PER PLANS,2006,6156,,FALSE,,,,Keep
55,residential_14322100150000,2223 N BISSELL ST,TRUE,1,3720,,,Exclude addition,The 2006 permit explicitly adds a bedroom/bath third floor to an existing single-family residence; 2010 work adds roof terrace/breezeway. Old assessments retain an 1888 building. This does not support selected 2009 new construction.,100090638;100339616,,Do not use the later class change to date a wholly new building.,1432210015000011999;1432210015000012000;1432210015000012001;1432210015000012002;1432210015000012003;1432210015000012004;1432210015000012005;1432210015000012006;1432210015000012007;1432210015000012008;1432210015000012009;1432210015000012010;1432210015000012011;1432210015000012012;1432210015000012013;1432210015000012014;1432210015000012015;1432210015000012016;1432210015000012017;1432210015000012018;1432210015000012019;1432210015000012020;1432210015000012021;1432210015000012022;1432210015000012023;1432210015000012024;1432210015000012025;1432210015000012026,"14322100150000 card1 class211 built1888: 2 homes / 4088 floor / NA land, assessment 1999,2000,2001,2002,2003,2004,2005; 14322100150000 card1 class211 built1888: 2 homes / 4088 floor / 3720 land, assessment 2006,2007,2008; 14322100150000 card1 class211 built1888: 2 homes / 4268 floor / 3720 land, assessment 2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023; 14322100150000 card1 class206 built2009: 1 homes / 4268 floor / 3720 land, assessment 2024,2025,2026",2026-09-15,TRUE,"100090638 | COMPLETE | 2006-01-19T00:00:00.000 | 2223 N BISSELL ST | ERECT BEDROOM AND BATH ADDITION AS 3RD FL. TO EXG. S.F.R. AND REAR BREEZE WAY ADDITION AT REAR PER PLAN
100339616 | EXPIRED | 2010-10-04T00:00:00.000 | 2223 N BISSELL ST | EXISTING ROOF TERRACE RENOVATION.  SCOPE OF WORK INCLUDES INSTALLATION OF 280 S.F. GREEN ROOF AND A DECK AND OPEN STAIR ADDITION.  ALSO INCLUDES ADDITION OF EXTERIOR LIGHTING AND ENCLOSURE OF EXISTING (1) STORY REAR OPEN BREEZEWAY CONNECTING THE SINGLE FAMILY RESIDENCE TO THE EXISTING (3) CAR GARAGE.  EXISTING RESIDENCE IS (3) STORIES WITH BASEMENT.  GREEN PERMIT PROGRAM.",2009,4268,,FALSE,,,,Exclude: not new construction
56,residential_14322220040000,2051 N CLIFTON AVE,TRUE,2,3100,3,3100,Correct count,Original new-building permit and first completed sale report three apartments; later assessments also say three at the same new-building area. Replace the selected incomplete two.,100929134;100924271,https://lowegroupchicago.com/properties/2051-n-clifton-avenue,Retain individual 3100-square-foot lot.,1432222004000011999;1432222004000012000;1432222004000012001;1432222004000012002;1432222004000012003;1432222004000012004;1432222004000012005;1432222004000012006;1432222004000012007;1432222004000012008;1432222004000012009;1432222004000012010;1432222004000012011;1432222004000012012;1432222004000012013;1432222004000012014;1432222004000012015;1432222004000012016;1432222004000012017;1432222004000012018;1432222004000012019;1432222004000012020;1432222004000012021;1432222004000012022;1432222004000012023;1432222004000012024;1432222004000012025;1432222004000012026,"14322220040000 card1 class211 built1888: 2 homes / 2420 floor / NA land, assessment 1999,2000,2001,2002,2003,2004,2005; 14322220040000 card1 class211 built1888: 2 homes / 2420 floor / 3100 land, assessment 2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021; 14322220040000 card1 class211 built2022: 2 homes / 3765 floor / 3100 land, assessment 2022,2023; 14322220040000 card1 class211 built2022: 3 homes / 3765 floor / 3100 land, assessment 2024,2025,2026",2026-09-15,TRUE,"100929134 | EXPIRED | 2021-07-23T00:00:00.000 | 2051 N CLIFTON AVE | ERECT 3 STORY IIIA MASONRY 3 DWELING UNIT  BUILDING WITH BASEMENT AND FIRST FLOOR OPEN REAR DECK , SECOND ,THIRD  FLOOR  FRONT DECKS, REAR OPEN PORCH, ROOF DECK W/ ROOFTOP STAIRWAY ENCL., AND DETACHED 3 CAR GARAGE WITH ROOF DECK, OPEN STAIRS AND PERGOLA PER PLANS.
100924271 |  | 2021-07-22T00:00:00.000 | 2051 N CLIFTON AVE | WRECK AND REMOVE A 2 STORY MASONRY MULTI UNIT RESIDENCE AND A DETACHED FRAME GARAGE",2022,3765,,FALSE,,,,Keep
57,residential_16012120060000,1445 N ROCKWELL ST,TRUE,3,3150,3,3150,Retain,"Original new-building permit specifies three apartments. It agrees with the current count, not the initial four. Keep the individual recorded lot.",100754414;100793633,,,1601212006000012019;1601212006000012020,"16012120060000 card1 class211 built2018: 4 homes / 5054 floor / 3150 land, assessment 2019; 16012120060000 card1 class211 built2018: 3 homes / 5054 floor / 3150 land, assessment 2020",2026-09-15,TRUE,"100754414 | COMPLETE | 2018-08-31T00:00:00.000 | 1445 N ROCKWELL ST | SELF CERTIFICATION REVIEW: ERECT 3 STORY 3 D.U. BUILDING (3B CONSTRUCTION) WITH BASEMENT, ROOFTOP DECK, ROOFTOP STAIR ENCLOSURE, DETACHED 3 CAR GARAGE (3B CONSTRUCTION) WITH ROOFTOP DECK AS PER PLAN.
100793633 |  | 2018-11-16T00:00:00.000 | 1445 N ROCKWELL ST | REVISION TO PERMIT NO 100754414; FOR (2) ALTERNATIVE CODE APPROVALS TO USE NEW MATERIAL FOR DRAINAGE AND VENT PIPE AND PIPE FITTTINGS AND INSTALL CPVC WATER PIPE AND PIPE FITTINGS",2018,5054,,FALSE,,,,Keep
58,residential_16022250290000,3338 W CRYSTAL ST,FALSE,3,3100,3,3100,Exclude pre-period,Three apartments are recorded with the same 2712-square-foot building by the 2006 assessment and a 2005 construction year. The current 2007 year first appears much later. A listing also reports 2005. Recommend treating the original building as pre-period unless stronger completion evidence supports 2006 or later.,,https://www.compass.com/homedetails/3338-W-Crystal-St-Chicago-IL-60651/1W2ROT_pid/,"Recommend recording 2005 and keeping the building outside the 2006–2022 study period. Its count and lot remain recorded, not erased.",1602225029000011999;1602225029000012000;1602225029000012001;1602225029000012002;1602225029000012003;1602225029000012004;1602225029000012005;1602225029000012006;1602225029000012007;1602225029000012008;1602225029000012009;1602225029000012010;1602225029000012011;1602225029000012012;1602225029000012013;1602225029000012014;1602225029000012015;1602225029000012016;1602225029000012017;1602225029000012018;1602225029000012019;1602225029000012020;1602225029000012021;1602225029000012022;1602225029000012023;1602225029000012024;1602225029000012025;1602225029000012026,"16022250290000 card1 class202 built1893: 1 homes / 814 floor / NA land, assessment 1999,2000,2001,2002,2003,2004,2005; 16022250290000 card1 class211 built2005: 3 homes / 2712 floor / 3100 land, assessment 2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021; 16022250290000 card1 class211 built2007: 3 homes / 2712 floor / 3100 land, assessment 2022; 16022250290000 card1 class278 built2007: 1 homes / 2712 floor / 3100 land, assessment 2023,2024,2025,2026",2026-09-15,TRUE,,2007,2712,Construction year,TRUE,2005,2712,"Use the early completed-building assessment: the new 2712-square-foot, three-apartment building appears in 2006 with construction year 2005 and retains that year until the much later change to 2007. A listing agrees with 2005. There is no located replacement-building evidence supporting 2007 for the same measured object.",Outside study period
59,residential_16082030050000,5953 W SUPERIOR ST,FALSE,1,4840,3,4840,Correct count,Original new-building permit specifies three apartments and the completed 2024 onward assessments report three at the same new-building area. The selected one comes from a temporary OA2 classification in 2022-2023.,100929686,https://www.homes.com/property/5955-w-superior-st-chicago-il-unit-2/nye8mmkplghyw/;https://www.realtor.com/rentals/details/5955-W-Superior-St-2_Chicago_IL_60644_M97566-03505,"Recommend three apartments and retain year 2022, 3598 square feet of Assessor building area and 4840 square feet of land. The exact completion month/year within 2021–2022 is not independently certified.",1608203005000012022;1608203005000012023;1608203005000012024;1608203005000012025;1608203005000012026,"16082030050000 card1 classOA2 built2022: 1 homes / 3598 floor / 4840 land, assessment 2022,2023; 16082030050000 card1 class211 built2022: 3 homes / 3598 floor / 4840 land, assessment 2024,2025,2026",2026-09-15,TRUE,100929686 | EXPIRED | 2021-08-24T00:00:00.000 | 5955 W SUPERIOR ST | SPR 2019 CBC. PROPOSED NEW TWO STORY THREE DWELLING UNITS BUILDING WITH REAR METAL PORCH WITH ROOF ABOVE AND FRONT METAL STAIRS WITH CANOPY ABOVE. NEW 3 PARKING STALLS. ALL WORK AS PER PLANS.,2022,3598,Construction year,TRUE,2022,3598,"A rental record documents an available apartment on May 4, 2022 and a completed lease on June 1, 2022. Its building description specifies three apartments. That establishes a completed residential use by the study cutoff despite the original permit now being marked expired. Listings say built 2021, while the completed Assessor says 2022; retain 2022 as the Assessor proxy because no 2021 occupancy evidence was located.",Keep
60,residential_16231030110000,1233 S AVERS AVE,FALSE,4,3125,2,3125,Correct count,"A later 2008 exact-parcel new-building permit specifies two dwellings, superseding an earlier single-family proposal. The 2017 seller listing separately describes two apartments. This supports two over both Assessor counts three and four.",100249650;100221582,https://www.redfin.com/IL/Chicago/1233-S-Avers-Ave-60623/home/39576565,"Retain exact-parcel Assessor lot 3125, also explicitly given by seller.",1623103011000012009;1623103011000012010;1623103011000012011;1623103011000012012;1623103011000012013;1623103011000012014;1623103011000012015;1623103011000012016;1623103011000012017;1623103011000012018;1623103011000012019;1623103011000012020;1623103011000012021;1623103011000012022;1623103011000012023;1623103011000012024;1623103011000012025;1623103011000012026,"16231030110000 card1 class211 built2008: 3 homes / 3744 floor / 3125 land, assessment 2009,2010,2011,2012,2013,2014,2015,2016,2017; 16231030110000 card1 class211 built2008: 4 homes / 3744 floor / 3125 land, assessment 2018,2019,2020; 16231030110000 card1 class211 built2009: 4 homes / 3744 floor / 3125 land, assessment 2021,2022,2023,2024,2025,2026",2026-09-15,TRUE,"100249650 | COMPLETE | 2008-08-20T00:00:00.000 | 1233 S AVERS AVE | ERECT A NEW 2-DWELLING-UNIT, FRAME BUILDING AND A DETACHED, FRAME GARAGE PER PLANS.                                                                                                                                           -CONDITIONAL PERMIT, SUBJECT TO FIELD VERIFICATION.
100221582 | COMPLETE | 2008-02-27T00:00:00.000 | 1233 S AVERS AVE | ERECT NEW SINGLE FAMILY RESIDENCE WITH BASEMENT AS PER PLANS..NO GARAGE. CONDITIONAL PERMIT SUBJECT TO FIELD INSPECTION.",2009,3744,,FALSE,,,,Keep
